,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,Polson,47.6936,-114.1632,76.77,38,2,0.98,US,1627147836
116,Viedma,-40.8135,-62.9967,53.01,35,100,13.4,AR,1627147836
117,Hilo,19.7297,-155.09,76.62,94,90,6.91,US,1627147836
118,Winnemucca,40.973,-117.7357,86.11,14,1,14.97,US,1627147836
119,Faya,18.3851,42.4509,71.71,66,83,2.24,SA,1627147837
120,Mossamedes,-15.1961,12.1522,66.79,80,0,5.95,AO,1627147837
121,Yulara,-25.2406,130.9889,42.64,61,69,5.75,AU,1627147716
122,Saint Paul Harbor,57.79,-152.4072,54.91,88,90,4.61,US,1627147715
123,Pundaguitan,6.3711,126.1689,84.27,74,97,14.34,PH,1627147838
124,Vaini,-21.2,-175.2,69.96,100,20,0.0,TO,1627147838
125,Pouébo,-20.4,164.5667,68.43,88,3,3.65,NC,1627147838
126,Sémbé,1.6481,14.5806,75.36,76,98,1.77,CG,1627147839
127,Bandarbeyla,9.4942,50.8122,78.33,73,74,29.24,SO,1627147839
128,Alofi,-19.0595,-169.9187,73.29,100,60,3.44,NU,1627147839
129,Pyatovskiy,54.6891,36.0563,66.24,60,89,2.82,RU,1627147840
130,Horn Lake,34.9554,-90.0348,92.95,65,75,5.99,US,1627147840
131,Comarapa,-17.9,-64.4833,69.57,44,1,8.66,BO,1627147840
132,Saint George,37.1041,-113.5841,92.53,42,1,1.99,US,1627147685
133,Huichapan,20.3833,-99.65,67.78,55,58,5.32,MX,1627147841
134,Sitka,57.0531,-135.33,57.09,88,90,0.0,US,1627147708
135,Sukumo,32.9333,132.7333,73.9,95,100,5.84,JP,1627147841
136,Port Antonio,18.18,-76.4612,89.51,58,94,8.97,JM,1627147841
137,São Filipe,14.8961,-24.4956,74.71,73,78,7.78,CV,1627147842
138,Manadhoo,5.7667,73.3833,82.72,73,83,5.84,MV,1627147842
139,Hasaki,35.7333,140.8333,75.6,84,0,7.45,JP,1627147842
140,Tateyama,34.9833,139.8667,81.01,83,0,7.61,JP,1627147843
141,Hobyo,5.3505,48.5268,78.48,71,80,28.7,SO,1627147843
142,Beirut,33.8889,35.4944,83.14,65,20,5.75,LB,1627147604
143,Kapaa,22.0752,-159.319,79.12,81,90,4.0,US,1627147718
144,Manicoré,-5.8092,-61.3003,91.35,55,75,5.75,BR,1627147844
145,Port-Gentil,-0.7193,8.7815,78.76,69,90,12.66,GA,1627147844
146,Port Moresby,-9.4431,147.1797,76.42,100,75,3.44,PG,1627147844
147,Kahului,20.8947,-156.47,78.06,91,40,14.97,US,1627147721
148,Pangnirtung,66.1451,-65.7125,50.0,66,90,9.22,CA,1627147811
149,Dongsheng,39.8161,109.9776,73.27,58,72,21.0,CN,1627147845
150,Kuty,48.2587,25.1795,63.9,85,48,3.44,UA,1627147845
151,Safi,32.2994,-9.2372,75.63,62,76,21.9,MA,1627147845
152,Afyonkarahisar,38.75,30.6667,72.72,35,34,11.45,TR,1627147845
153,Arona,28.0996,-16.681,77.02,62,20,8.01,ES,1627147846
154,Nuevitas,21.5453,-77.2644,90.84,70,57,10.27,CU,1627147846
155,Hīt,33.6416,42.8251,100.9,19,0,10.36,IQ,1627147820
156,Constitución,-35.3333,-72.4167,53.33,85,98,11.41,CL,1627147846
157,Devils Lake,48.1128,-98.8651,80.94,31,1,15.01,US,1627147621
158,Bilibino,68.0546,166.4372,50.59,68,41,1.3,RU,1627147847
159,Kushmurun,52.4503,64.6311,68.7,85,100,3.27,KZ,1627147847
160,Methana,37.5823,23.3914,85.28,49,8,10.51,GR,1627147847
161,Loreto,22.2667,-101.9667,70.52,54,5,1.79,MX,1627147763
162,Airai,-8.9266,125.4092,56.01,41,27,3.18,TL,1627147848
163,Norman Wells,65.282,-126.8329,57.24,62,75,10.36,CA,1627147825
164,Avarua,-21.2078,-159.775,71.65,78,40,4.61,CK,1627147799
165,Aksu,41.1231,80.2644,86.41,31,0,5.06,CN,1627147848
166,Buritizeiro,-17.3511,-44.9622,82.26,24,0,6.78,BR,1627147848
167,Ipameri,-17.7219,-48.1597,80.4,23,0,10.13,BR,1627147849
168,Mindelo,16.8901,-24.9804,81.95,51,20,16.11,CV,1627147849
169,Sioux Lookout,50.1001,-91.917,79.18,47,90,12.66,CA,1627147797
170,Iqaluit,63.7506,-68.5145,47.93,81,90,13.8,CA,1627147842
171,Taoudenni,22.6783,-3.9836,111.47,6,3,10.25,ML,1627147850
172,Leningradskiy,69.3833,178.4167,37.63,93,99,4.88,RU,1627147850
173,Tuktoyaktuk,69.4541,-133.0374,57.2,62,75,17.27,CA,1627147796
174,Kudymkar,59.0173,54.656,51.49,73,98,4.63,RU,1627147850
175,Suntar,62.1444,117.6319,59.68,80,72,5.84,RU,1627147850
176,Huangpi,30.8845,114.3779,80.71,83,0,4.47,CN,1627147851
177,Jacareacanga,-6.2222,-57.7528,99.19,22,75,4.47,BR,1627147851
178,Rayachoti,14.05,78.75,81.03,66,48,14.88,IN,1627147851
179,Lukovetskiy,64.2956,41.9211,53.58,67,96,8.19,RU,1627147852
180,Marawi,7.9986,124.2928,70.11,90,77,5.79,PH,1627147852
181,San Cristobal,7.7669,-72.225,80.78,48,100,6.67,VE,1627147756
182,Lagoa,39.05,-27.9833,71.29,95,22,14.63,PT,1627147852
183,Nhulunbuy,-12.2333,136.7667,66.81,94,20,0.0,AU,1627147853
184,Narsaq,60.9167,-46.05,46.62,93,100,5.64,GL,1627147809
185,Mar del Plata,-38.0023,-57.5575,55.0,63,0,13.0,AR,1627147800
186,Binga,-17.6203,27.3414,63.79,64,1,3.38,ZW,1627147853
187,Daru,-9.0763,143.2092,77.9,87,98,13.31,PG,1627147853
188,Itapagé,-3.6867,-39.5861,92.68,27,31,10.65,BR,1627147854
189,Waingapu,-9.6567,120.2641,71.13,76,6,6.17,ID,1627147854
190,Wattegama,6.7989,81.4808,79.39,71,99,10.36,LK,1627147855
191,Mananara,-16.1667,49.7667,66.22,84,22,5.95,MG,1627147855
192,Humboldt,40.6665,-123.9178,52.18,31,1,5.61,US,1627147855
193,Sechura,-5.5569,-80.8222,75.29,59,12,10.76,PE,1627147855
194,Kuito,-12.3833,16.9333,59.5,27,1,1.52,AO,1627147856
195,Mana,5.6592,-53.7767,84.07,73,72,11.92,GF,1627147856
196,Fairbanks,64.8378,-147.7164,59.59,94,90,8.05,US,1627147857
197,Chui,-33.6971,-53.4616,63.9,75,46,5.41,UY,1627147857
198,Caravelas,-17.7125,-39.2481,74.52,62,54,9.44,BR,1627147857
199,Bonthe,7.5264,-12.505,76.03,86,100,9.4,SL,1627147857
200,Kloulklubed,7.0419,134.2556,82.9,80,100,9.42,PW,1627147858
201,Departamento de Maldonado,-34.6667,-54.9167,63.79,76,96,11.12,UY,1627147858
202,Cherskiy,68.75,161.3,42.44,77,80,2.77,RU,1627147858
203,Notsé,6.95,1.1667,77.74,70,82,6.11,TG,1627147859
204,Ntcheu,-14.8203,34.6359,54.1,81,50,10.11,MW,1627147859
